License Number,Full Name,NPN Number,Residency Type,License Status,License Issue Date,Business City,Business State,Business Zip,Business County
W806268,UNITED CLAIMS SPECIALISTS,"=""19629571""",Resident,VALID,11/22/2021 12:00:00 AM,MIAMI,FL,"=""33169""",Dade
W806086,YOUR RECOVERY TEAM INC,"=""20150199""",Resident,VALID,11/19/2021 12:00:00 AM,WEST PALM BEACH,FL,"=""33412""",Palm Beach
W806093,ALL STAR PUBLIC ADJUSTERS,"=""20150204""",Resident,VALID,11/19/2021 12:00:00 AM,FORT LAUDERDALE,FL,"=""33312""",Broward
W810795,EXCLUSIVE PIA LLC,"=""20168238""",Resident,VALID,12/7/2021 12:00:00 AM,MIAMI,FL,"=""33173""",Dade
W810797,"MAIN LINE PUBLIC ADJUSTERS, LLC","=""18088668""",Resident,VALID,12/7/2021 12:00:00 AM,LONGBOAT KEY,FL,"=""34228""",Manatee
W821088,BEST CLAIM SOLUTIONS INC.,"=""20209350""",Resident,VALID,1/19/2022 12:00:00 AM,PLANTATION,FL,"=""33322""",Broward
W809638,ADJUSTING EXPERTS,"=""20164640""",Resident,VALID,12/3/2021 12:00:00 AM,MIAMI,FL,"=""33186""",Dade
W809640,KEY BISCAYNE CLAIM ADJUSTERS CORP.,"=""20164619""",Resident,VALID,12/3/2021 12:00:00 AM,KEY BISCAYNE,FL,"=""33149""",Dade
W808178,INVICTUS PUBLIC ADJUSTERS LLC,"=""19388453""",Resident,VALID,12/1/2021 12:00:00 AM,HOLLYWOOD,FL,"=""33020""",Broward
W809174,SMOLKA & COMPANY,"=""20163418""",Resident,VALID,12/2/2021 12:00:00 AM,SUNRISE,FL,"=""33323""",Broward
W811430,FIVE STAR CLAIMS ADJUSTING,"=""20171105""",Resident,VALID,12/9/2021 12:00:00 AM,OAKLAND PARK,FL,"=""33311""",Broward
W811429,"FIVE STAR MIAMI, LLC","=""20171099""",Resident,VALID,12/9/2021 12:00:00 AM,OAKLAND PARK,FL,"=""33311""",Broward
W810799,STATEWIDE CLAIM SERVICES LLC,"=""18352707""",Non-Resident,VALID,12/7/2021 12:00:00 AM,PLEASANTON,TX,"=""78064""",
W810802,FRASER PROPERTY & ADJUSTING INC.,"=""20168257""",Resident,VALID,12/7/2021 12:00:00 AM,NORTH MIAMI BEACH,FL,"=""33162""",Dade
W807998,"WARRIOR PUBLIC ADJUSTERS, INC.","=""20160314""",Resident,VALID,11/30/2021 12:00:00 AM,MIAMI,FL,"=""33156""",Dade
W809048,FAITH ADJUSTERS LLC DBA FAITH ADJUSTER,"=""20163421""",Resident,VALID,12/2/2021 12:00:00 AM,ORLANDO,FL,"=""32814""",Orange
W809051,ROBIN HOOD ADJUSTERS,"=""20163424""",Resident,VALID,12/2/2021 12:00:00 AM,EUSTIS,FL,"=""32726""",Lake
W820258,WSANTOS PUBLIC ADJUSTING LLC,"=""20205097""",Resident,VALID,1/14/2022 12:00:00 AM,PORT SAINT LUCIE,FL,"=""34986""",St. Lucie
W809630,UNIVERSAL INSURANCE CLAIM CONSULTANTS INC.,"=""20164641""",Resident,VALID,12/3/2021 12:00:00 AM,ORLANDO,FL,"=""32789""",Orange
W809632,"BRODSKY & ASSOCIATES, INC.","=""8095071""",Resident,VALID,12/3/2021 12:00:00 AM,AVENTURA,FL,"=""33180""",Dade
W809078,JAX PUBLIC ADJUSTER,"=""20163407""",Resident,VALID,12/2/2021 12:00:00 AM,JACKSONVILLE,FL,"=""32256""",Duval
W809386,"THE RED DOOR PUBLIC ADJUSTERS, INC.","=""20163406""",Resident,VALID,12/2/2021 12:00:00 AM,PLANTATION,FL,"=""33317""",Broward
W811607,"PEOPLE'S INSURANCE CLAIM CENTER, INC.","=""8097611""",Resident,VALID,12/9/2021 12:00:00 AM,MIAMI,FL,"=""33179""",Dade
W820257,FULL HOUSE PUBLIC ADJUSTERS,"=""20205082""",Resident,VALID,1/14/2022 12:00:00 AM,BOYNTON BEACH,FL,"=""33472""",Palm Beach
W833642,THE PUBLIC ADJUSTERS INC,"=""20253444""",Resident,VALID,3/1/2022 12:00:00 AM,PANAMA CITY BEACH,FL,"=""32408""",Bay
W829547,"OCEAN POINT CLAIMS COMPANY, LLC","=""20239890""",Resident,VALID,2/16/2022 12:00:00 AM,HOBE SOUND,FL,"=""33455""",Palm Beach
W811926,CITIZENS CLAIMS CONSULTANTS,"=""8095859""",Resident,VALID,12/10/2021 12:00:00 AM,MIAMI,FL,"=""33186""",Dade
W816380,ATLANTIC PROPERTY ADJUSTERS,"=""20189698""",Resident,VALID,12/29/2021 12:00:00 AM,AVENTURA,FL,"=""33180""",Dade
W818093,"ATLANTIC COAST CONSULTANTS, LLC","=""16837592""",Resident,VALID,1/7/2022 12:00:00 AM,MIAMI,FL,"=""33161""",Dade
W818006,"ADKINSON INSURANCE SERVICES, INC","=""20197657""",Resident,VALID,1/7/2022 12:00:00 AM,AUBURNDALE,FL,"=""33823""",Polk
W818238,LUX CLAIMS,"=""20197676""",Resident,VALID,1/7/2022 12:00:00 AM,MIAMI,FL,"=""33131""",Dade
W807342,ACTION CLAIMS,"=""20155965""",Resident,VALID,11/24/2021 12:00:00 AM,CORAL SPRINGS,FL,"=""33071""",Broward
W818007,JD PUBLIC ADJUSTERS INC,"=""20197661""",Resident,VALID,1/7/2022 12:00:00 AM,ORLANDO,FL,"=""32819""",Orange
W817720,DEPENDABLE RESOLUTIONS LLC,"=""20196756""",Resident,VALID,1/6/2022 12:00:00 AM,NAVARRE,FL,"=""32566""",Hillsborough
W819564,STORM ONE CLAIMS LLC,"=""20203856""",Resident,VALID,1/13/2022 12:00:00 AM,VENICE,FL,"=""34292""",Sarasota
W807104,"TAILORED LOSS CONSULTANTS, LLC.","=""20155975""",Resident,VALID,11/24/2021 12:00:00 AM,LEE,FL,"=""32059""",Madison
W820520,ELITE PROPERTY ADJUSTERS LLC,"=""20207705""",Resident,VALID,1/18/2022 12:00:00 AM,NORTH MIAMI BEACH,FL,"=""33160""",Dade
W820858,PITBULL CLAIM ADJUSTERS,"=""20209347""",Resident,VALID,1/19/2022 12:00:00 AM,DAVIE,FL,"=""33325""",Broward
W809194,HUNTER CLAIMS,"=""20163415""",Resident,VALID,12/2/2021 12:00:00 AM,TAMPA,FL,"=""33614""",Hillsborough
W808876,INTERCOASTAL PUBLIC ADJUSTERS,"=""19945044""",Non-Resident,VALID,12/1/2021 12:00:00 AM,WILMINGTON,NC,"=""28409""",
W809643,INTEGRITY SETTLEMENT ADJUSTERS LLC,"=""20164642""",Resident,VALID,12/3/2021 12:00:00 AM,LAUDERHILL,FL,"=""33319""",Broward
W808884,APPRAISERS AND ADJUSTERS 4 U INC,"=""20162285""",Resident,VALID,12/1/2021 12:00:00 AM,SOUTHWEST RANCHES,FL,"=""33332""",Broward
W807044,A1 PUBLIC ADJUSTERS LLC,"=""20155967""",Resident,VALID,11/24/2021 12:00:00 AM,PEMBROKE PINES,FL,"=""33024""",Broward
W811078,"FIVE STAR ORLANDO, LLC","=""19852849""",Resident,VALID,12/8/2021 12:00:00 AM,MAITLAND,FL,"=""32751""",Orange
W811924,GLOBAL PATRIOT ADJUSTERS LLC,"=""16973925""",Non-Resident,VALID,12/10/2021 12:00:00 AM,WILTON,NH,"=""03086""",
W811383,"FIVE STAR OF SOUTH WEST FLORIDA, LLC","=""20171091""",Resident,VALID,12/9/2021 12:00:00 AM,TAMPA,FL,"=""33605""",Hillsborough
W811384,"FIVE STAR OF CENTRAL FLORIDA, LLC","=""20171077""",Resident,VALID,12/9/2021 12:00:00 AM,ORLANDO,FL,"=""32806""",Orange
W811920,TRIUMPH CONSULTING CORP,"=""20172136""",Resident,VALID,12/10/2021 12:00:00 AM,OAKLAND PARK,FL,"=""33311""",Broward
W819833,CHINCHILLA CLAIM SERVICES,"=""20203834""",Resident,VALID,1/13/2022 12:00:00 AM,MIAMI,FL,"=""33196""",Dade
W819895,DEFENDER LOSS CONSULTANTS,"=""20203827""",Resident,VALID,1/13/2022 12:00:00 AM,ST. CLOUD,FL,"=""34769""",Osceola
W809989,FCS PUBLIC ADJUSTERS,"=""20166816""",Resident,VALID,12/6/2021 12:00:00 AM,CORAL SPRINGS,FL,"=""33065""",Broward
W811556,"CORDO CLAIMS GROUP, LLC","=""19878180""",Resident,VALID,12/9/2021 12:00:00 AM,PALMETTO BAY,FL,"=""33157""",Dade
W818473,SKYLINE ADJUSTERS,"=""18190337""",Non-Resident,VALID,1/10/2022 12:00:00 AM,NY,NY,"=""10007""",
W814415,INTERNATIONAL PUBLIC ADJUSTERS CORPORATION,"=""20181752""",Resident,VALID,12/20/2021 12:00:00 AM,MIAMI,FL,"=""33187""",Dade
W813626,"REAL CLAIMS OF AMERICA, CORP","=""20178764""",Resident,VALID,12/16/2021 12:00:00 AM,AVENTURA,FL,"=""33180""",Dade
W805385,"BUILDER'S PERSPECTIVE PUBLIC ADJUSTING, LLC","=""19621659""",Resident,VALID,11/18/2021 12:00:00 AM,PENSACOLA,FL,"=""32526""",Escambia
W817482,"ICA INSURANCE CLAIMS ADVOCATES, LLC","=""20136158""",Resident,VALID,1/5/2022 12:00:00 AM,ST CLOUD,FL,"=""34769""",Osceola
W818563,BEST PUBLIC ADJUSTERS,"=""19712811""",Resident,VALID,1/10/2022 12:00:00 AM,NORTH MIAMI BEACH,FL,"=""33160""",Dade
W810937,CLAIM CHECK CONSULTANTS PUBLIC ADJUSTERS INC,"=""20169602""",Resident,VALID,12/8/2021 12:00:00 AM,COCONUT GROVE,FL,"=""33133""",Dade
W815473,"FAJA ADJUSTING AND INSURANCE SERVICES, LLC","=""20185496""",Resident,VALID,12/23/2021 12:00:00 AM,CORAL SPRINGS,FL,"=""33065""",Broward
W816996,CHAMPION CLAIMS LLC,"=""20193966""",Resident,VALID,1/4/2022 12:00:00 AM,ORLANDO,FL,"=""32809""",Orange
W811151,MIKE MCDERMOTT LLC DBA YES ADJUSTING,"=""20169598""",Resident,VALID,12/8/2021 12:00:00 AM,FLAGLER BEACH,FL,"=""32136""",Flagler
W811152,"ADJUST UP CLAIMS, LLC","=""20091583""",Resident,VALID,12/8/2021 12:00:00 AM,DORAL,FL,"=""33122""",Dade
W812298,"ADJUST UP CLAIMS OF CENTRAL FLORIDA, INC","=""20174205""",Resident,VALID,12/13/2021 12:00:00 AM,TAMPA,FL,"=""33607""",Hillsborough
W828744,INDEMNITY ADJUSTERS LLC,"=""20093072""",Resident,VALID,2/14/2022 12:00:00 AM,MIAMI,FL,"=""33186""",Dade
W813219,WAT-HAM ENTERPRISE INC,"=""20177199""",Resident,VALID,12/15/2021 12:00:00 AM,MIAMI,FL,"=""33157""",Dade
W811155,"STELLAR PUBLIC ADJUSTING SERVICES, LLC","=""20169605""",Resident,VALID,12/8/2021 12:00:00 AM,AVENTURA,FL,"=""33180""",Dade
W810378,DALY & ASSOCIATES,"=""20166817""",Resident,VALID,12/6/2021 12:00:00 AM,MIAMI,FL,"=""33183""",Dade
W811922,COHEN AND ASSOCIATES PUBLIC ADJUSTERS INC,"=""20172138""",Resident,VALID,12/10/2021 12:00:00 AM,AVENTURA,FL,"=""33180""",Dade
W807237,SWERLING MILTON WINNICK PUBLIC ADJUSTERS,"=""3686894""",Non-Resident,VALID,11/24/2021 12:00:00 AM,WELLESLEY HILLS,MA,"=""024811904""",
W807242,SIMPLICITY ELITE ADJUSTERS LLC,"=""20155972""",Resident,VALID,11/24/2021 12:00:00 AM,ORLANDO,FL,"=""32819""",Orange
W807246,MAX FINKELSTEIN CORPORATION DBA CLAIM FL PUBLIC ADJUSTERS,"=""20155962""",Resident,VALID,11/24/2021 12:00:00 AM,FORT LAUDERDALE,FL,"=""33301""",Broward
W805621,A1A ADJUSTERS,"=""20148951""",Resident,VALID,11/18/2021 12:00:00 AM,INDIALANTIC,FL,"=""32903""",Brevard
W805523,SOLEIL CLAIMS LLC,"=""20148877""",Resident,VALID,11/18/2021 12:00:00 AM,MIAMI,FL,"=""33145""",Dade
W805648,"NOBLE PUBLIC ADJUSTING GROUP, LLC","=""20099021""",Resident,VALID,11/18/2021 12:00:00 AM,P C BEACH,FL,"=""32413""",Bay
W805866,"GM & ASSOCIATES GROUP, INC.","=""20150219""",Resident,VALID,11/19/2021 12:00:00 AM,MIAMI,FL,"=""33196""",Dade
W827834,CAPITAL CLAIMS,"=""20233703""",Resident,VALID,2/10/2022 12:00:00 AM,MIAMI,FL,"=""33186""",Dade
W807283,TRUST PUBLIC ADJUSTERS,"=""20155976""",Resident,VALID,11/24/2021 12:00:00 AM,ORLANDO,FL,"=""32812""",Orange
W805623,KEYS CLAIMS CONSULTANTS LLC,"=""9076569""",Resident,VALID,11/18/2021 12:00:00 AM,NAPLES,FL,"=""34109""",Collier
W805528,PROPERTY CLAIM EXPERTS,"=""20148923""",Resident,VALID,11/18/2021 12:00:00 AM,BRANDON,FL,"=""33511""",Hillsborough
W820684,ADJUSTER PROS PUBLIC ADJUSTERS,"=""20207721""",Resident,VALID,1/18/2022 12:00:00 AM,DAVIE,FL,"=""33330""",Broward
W812334,"ALL FLORIDA GROUP, CORP","=""20174211""",Resident,VALID,12/13/2021 12:00:00 AM,MIRAMAR,FL,"=""33029""",Broward
W805529,"SAFEGUARD PUBLIC ADJUSTERS, INC.","=""20148942""",Resident,VALID,11/18/2021 12:00:00 AM,PLANTATION,FL,"=""33324""",Broward
W805865,NATION CLAIMSERVICES,"=""20150245""",Resident,VALID,11/19/2021 12:00:00 AM,MIAMI LAKES,FL,"=""33016""",Dade
W805534,"1-800-HURRICANE, LLC","=""20148944""",Resident,VALID,11/18/2021 12:00:00 AM,MIAMI,FL,"=""33179""",Dade
W805620,"MWS VENTURES, INC. DBA ALL POINTS CLAIM ADVISORS","=""20148921""",Resident,VALID,11/18/2021 12:00:00 AM,OCALA,FL,"=""34481""",Marion
W805537,"USA PUBLIC ADJUSTING GROUP, LLC","=""20148936""",Resident,VALID,11/18/2021 12:00:00 AM,PORT SAINT LUCIE,FL,"=""34986""",St. Lucie
W805706,"CLAIM CLOSERS, LLC","=""20148937""",Resident,VALID,11/18/2021 12:00:00 AM,PARKLAND,FL,"=""33076""",Broward
W805707,J CONSULTANTS INC DBA FLORIDA PUBLIC ADJUSTING,"=""20148955""",Resident,VALID,11/18/2021 12:00:00 AM,HOLLYWOOD,FL,"=""33020""",Broward
W805705,PRIME CLAIMS INC,"=""19861265""",Resident,VALID,11/18/2021 12:00:00 AM,MIAMI,FL,"=""33126""",Dade
W805541,"REBELLIS GROUP, INC /DBA ESTIMAR","=""20148941""",Resident,VALID,11/18/2021 12:00:00 AM,FORT LAUDERDALE,FL,"=""33305""",Broward
W805542,LMR PUBLIC ADJUSTERS,"=""20148929""",Resident,VALID,11/18/2021 12:00:00 AM,COOPER CITY,FL,"=""33024""",Broward
W811617,WELL ADJUSTED CLAIMS,"=""20171101""",Resident,VALID,12/9/2021 12:00:00 AM,MIRAMAR,FL,"=""33025""",Broward
W806951,PH MIAMI INC,"=""20154633""",Resident,VALID,11/23/2021 12:00:00 AM,MIAMI,FL,"=""33186""",Dade
W807451,"NATIONAL FIRE ADJUSTMENT CO., INC.","=""2013884""",Non-Resident,VALID,11/28/2021 12:00:00 AM,AMHERST,NY,"=""14228""",
W807211,"INSURANCE ADJUSTMENT BUREAU, INC.","=""2014171""",Non-Resident,VALID,11/24/2021 12:00:00 AM,PLYMOUTH MEETING,PA,"=""19462""",
W807212,UTOPIA PUBLIC ADJUSTING,"=""20155966""",Non-Resident,VALID,11/24/2021 12:00:00 AM,INDEPENDENCE,OH,"=""34119""",
W807213,"EXPERIENCED PUBLIC ADJUSTERS, LLC","=""20155996""",Resident,VALID,11/24/2021 12:00:00 AM,ORLANDO,FL,"=""32812""",Orange
W807214,FOR THE PEOPLE PUBLIC ADJUSTERS INC DBA SOFLO PUBLIC ADJUSTERS,"=""20155963""",Resident,VALID,11/24/2021 12:00:00 AM,COOPER CITY,FL,"=""33328""",Broward
W807216,ADJUSTER GROUPS INC,"=""19987501""",Resident,VALID,11/24/2021 12:00:00 AM,KISSSIMMEE,FL,"=""34741""",Osceola
W810387,GOLDEN TRAILS,"=""20166819""",Resident,VALID,12/6/2021 12:00:00 AM,PALM BAY,FL,"=""32909""",Brevard
W811690,"TROUBLE IN PARADISE ADJUSTING, INC","=""16825954""",Resident,VALID,12/9/2021 12:00:00 AM,COCONUT CREEK,FL,"=""33073""",Broward
W811693,PRO CLAIMS CONSULTANTS LLC,"=""20171081""",Resident,VALID,12/9/2021 12:00:00 AM,HOLLYWOOD,FL,"=""33026""",Broward
W820860,BULLSEYE PUBLIC ADJUSTING,"=""20209343""",Resident,VALID,1/19/2022 12:00:00 AM,GAINESVILLE,FL,"=""32605""",Alachua
W806543,D'BEST QUALITY CONSULTANTS CORP,"=""20152847""",Resident,VALID,11/22/2021 12:00:00 AM,MIAMI GARDENS,FL,"=""33055""",Dade
W806544,LOVIAL CLAIMS CONSULTANTS INC,"=""20152845""",Resident,VALID,11/22/2021 12:00:00 AM,MIAMI,FL,"=""33196""",Dade
W806546,GLOBAL PUBLIC ADJUSTERS INC,"=""20152851""",Resident,VALID,11/22/2021 12:00:00 AM,ORLANDO,FL,"=""32819""",Orange
W806547,TEAMWORK CLAIMS CONSULTANT,"=""20152882""",Resident,VALID,11/22/2021 12:00:00 AM,MIAMI,FL,"=""33187""",Dade
W807443,"EXPERT CLAIMS ADJUSTERS, INC","=""20156969""",Resident,VALID,11/28/2021 12:00:00 AM,MIAMI,FL,"=""33186""",Dade
W806739,ACCURATE ADJUSTING SERVICES,"=""8095888""",Resident,VALID,11/23/2021 12:00:00 AM,HOLLYWOOD,FL,"=""33020""",Broward
W806765,"CONSOLIDATED PUBLIC ADJUSTERS, INC.","=""8191330""",Resident,VALID,11/23/2021 12:00:00 AM,DORAL,FL,"=""33166""",Dade
W806550,"FLORIDA ADJUSTERS, INC.","=""20152854""",Resident,VALID,11/22/2021 12:00:00 AM,BOCA RATON,FL,"=""33428""",Palm Beach
W806551,PROGRESSIVE PUBLIC ADJUSTERS LLC,"=""20152852""",Resident,VALID,11/22/2021 12:00:00 AM,BOYNTON BEACH,FL,"=""33473""",Palm Beach
W806907,"LEADING PUBLIC ADJUSTERS, INC","=""20154618""",Resident,VALID,11/23/2021 12:00:00 AM,MIAMI LAKES,FL,"=""33014""",Dade
W812383,"STERLING CLAIMS MANAGEMENT, INC.","=""17781777""",Non-Resident,VALID,12/13/2021 12:00:00 AM,SAN DIEGO,CA,"=""92123""",
W820221,"HELPING NEIGHBORS CLAIM ADJUSTERS, INC","=""20205099""",Resident,VALID,1/14/2022 12:00:00 AM,SWEETWATER,FL,"=""33172""",Dade
W819571,USA PUBLIC ADJUSTERS,"=""20203824""",Resident,VALID,1/13/2022 12:00:00 AM,MIAMI,FL,"=""33156""",Dade
W818638,HOMELAND PUBLIC ADJUSTERS CORPORATION,"=""20200937""",Resident,VALID,1/11/2022 12:00:00 AM,MIAMI LAKES,FL,"=""33016""",Dade
W819841,"PS CLAIM CONSULTANTS, INC","=""20203828""",Resident,VALID,1/13/2022 12:00:00 AM,HALLANDALE BEACH,FL,"=""33009""",Broward
W815829,STRATEGIC ADJUSTING SERVICES INC,"=""20188552""",Resident,VALID,12/28/2021 12:00:00 AM,SURFSIDE,FL,"=""33154""",Dade
W823558,"PRIMO ADJUSTING SERVICES, INC.","=""20217184""",Resident,VALID,1/26/2022 12:00:00 AM,MIAMI LAKES,FL,"=""33014""",Dade
W812941,2ND OPINION PUBLIC INSURANCE ADJUSTERS,"=""20175677""",Resident,VALID,12/14/2021 12:00:00 AM,WINTER PARK,FL,"=""32792""",Orange
W813542,ADVANCE CLAIM CONSULTANTS,"=""20178761""",Resident,VALID,12/16/2021 12:00:00 AM,PALMETTO BAY,FL,"=""33157""",Dade
W816171,DORSTEN CLAIMS LLC,"=""19601072""",Resident,VALID,12/28/2021 12:00:00 AM,HAWTHORNE,FL,"=""32640""",Putnam
W824727,VANGUARD PUBLIC ADJUSTERS INC.,"=""20223682""",Resident,VALID,2/1/2022 12:00:00 AM,MIAMI,FL,"=""33176""",Dade
W825280,ALL AMERICAN PUBLIC ADJUSTERS INC,"=""9630105""",Resident,VALID,2/2/2022 12:00:00 AM,BOCA RATON,FL,"=""33433""",Palm Beach
W812323,"THE HOMEOWNER'S ADVOCATE, LLC.","=""20174204""",Resident,VALID,12/13/2021 12:00:00 AM,BRADENTON,FL,"=""34207""",Manatee
W809461,PUBLIC ADJUSTERS ADVANTAGE CORPORATION,"=""20163397""",Resident,VALID,12/2/2021 12:00:00 AM,CORAL GABLES,FL,"=""33134""",Dade
W826910,"ULTRA PUBLIC ADJUSTERS, LLC","=""20231012""",Resident,VALID,2/8/2022 12:00:00 AM,ORLANDO,FL,"=""32804""",Orange
W824631,305 PUBLIC ADJUSTERS CORP,"=""20223615""",Resident,VALID,2/1/2022 12:00:00 AM,HOMESTEAD,FL,"=""33032""",Dade
W824873,CLAIM SPECIALISTS INC,"=""20223661""",Resident,VALID,2/1/2022 12:00:00 AM,PORT SAINT LUCIE,FL,"=""34995""",St. Lucie
W814596,EXPRESS CLAIMS ADJUSTERS LLC DBA SOUTH POINT ADJUSTERS,"=""20183283""",Resident,VALID,12/21/2021 12:00:00 AM,MIAMI LAKES,FL,"=""33014""",Dade
W840229,"THE PEOPLE'S CHOICE PUBLIC ADJUSTER, LLC","=""20274724""",Resident,VALID,3/21/2022 12:00:00 AM,LAKE WORTH,FL,"=""33467""",Palm Beach
W823896,"ODRY CLAIMS CONSULTANTS, LLC","=""20218795""",Resident,VALID,1/27/2022 12:00:00 AM,FORT LAUDERDALE,FL,"=""33345""",Broward
W823898,CLAIMSPRO CONSULTING INC.,"=""20218794""",Resident,VALID,1/27/2022 12:00:00 AM,PEMBROKE PINES,FL,"=""33026""",Broward
W812387,SECURE ADJUSTER CORP,"=""20174210""",Resident,VALID,12/13/2021 12:00:00 AM,DORAL,FL,"=""33178""",Dade
W815159,VELOCITY PUBLIC ADJUSTING LLC,"=""19941432""",Non-Resident,VALID,12/22/2021 12:00:00 AM,SCOTTSDALE,AZ,"=""85258""",
W813055,FASTER CLAIM LLC,"=""20177192""",Resident,VALID,12/15/2021 12:00:00 AM,DORAL,FL,"=""33166""",Dade
W805387,ADJUST IT RIGHT PUBLIC ADJUSTING LLC,"=""20148943""",Resident,VALID,11/18/2021 12:00:00 AM,WEST PALM BEACH,FL,"=""33411""",Palm Beach
W806197,RESPONSIVE PUBLIC ADJUSTERS,"=""20152868""",Resident,VALID,11/22/2021 12:00:00 AM,MEDLEY,FL,"=""33166""",Dade
W806238,QUICK CLAIMS ADJUSTING LLC DBA AJUSTADORES PUBLICOS ORLANDO,"=""20152867""",Resident,VALID,11/22/2021 12:00:00 AM,ORLANDO,FL,"=""32824""",Orange
W806198,ADJUSTER PRO SERVICES,"=""20152884""",Resident,VALID,11/22/2021 12:00:00 AM,GOTHA,FL,"=""34734""",Orange
W806609,"EXCELSIOR PUBLIC ADJUSTING SERVICES, L.L.C.","=""20152839""",Resident,VALID,11/22/2021 12:00:00 AM,NORTH MIAMI,FL,"=""33161""",Dade
W806772,ALL PRO CLAIMS ADJUSTERS,"=""20154561""",Resident,VALID,11/23/2021 12:00:00 AM,MIAMI,FL,"=""33183""",Dade
W807088,"FIFTH ELEMENT ADJUSTING, INC.","=""20155969""",Resident,VALID,11/24/2021 12:00:00 AM,JACKSONVILLE,FL,"=""32246""",Duval
W807090,"FASTRACK CLAIMS CONSULTANTS, INC","=""20155974""",Resident,VALID,11/24/2021 12:00:00 AM,MIAMI,FL,"=""33177""",Dade
W805867,THE ADJUSTERS GROUP L.L.C.,"=""20150238""",Resident,VALID,11/19/2021 12:00:00 AM,BOCA RATON,FL,"=""33432""",Palm Beach
W805626,"VIP ADJUSTING, INC.","=""20148934""",Resident,VALID,11/18/2021 12:00:00 AM,FORT PIERCE,FL,"=""34982""",St. Lucie
W805708,FLORIDA LOSS ADJUSTERS DBA SANTOS PUBLIC ADJUSTERS,"=""20148894""",Resident,VALID,11/18/2021 12:00:00 AM,DORAL,FL,"=""33122""",Dade
W805630,"ADVANCED BUILDING ASSESSMENT, INC.","=""20148931""",Resident,VALID,11/18/2021 12:00:00 AM,NEW SMYRNA BEACH,FL,"=""32169""",Volusia
W805868,DEDICATED PUBLIC ADJUSTERS,"=""20150211""",Resident,VALID,11/19/2021 12:00:00 AM,PALMETTO BAY,FL,"=""33157""",Dade
W805631,"LUCKY 13 PUBLIC ADJUSTERS, LLC","=""20148886""",Resident,VALID,11/18/2021 12:00:00 AM,MIAMI,FL,"=""33173""",Dade
W805633,RC PUBLIC ADJUSTERS,"=""20148945""",Resident,VALID,11/18/2021 12:00:00 AM,PALMETTO BAY,FL,"=""33158""",Dade
W805710,RD JAMES CONSULTANTS LLC DBA LIBERTY ADJUSTERS,"=""20148952""",Resident,VALID,11/18/2021 12:00:00 AM,RIVERVIEW,FL,"=""33578""",Hillsborough
W805634,"UNIVERSAL CLAIMS ADJUSTERS, INC.","=""20148896""",Resident,VALID,11/18/2021 12:00:00 AM,ORLANDO,FL,"=""32812""",Orange
W805636,THE ICON GROUP,"=""20148881""",Resident,VALID,11/18/2021 12:00:00 AM,MIAMI,FL,"=""33131""",Dade
W805637,R.A.M CLAIMS ADJUSTINGS INC,"=""20148947""",Resident,VALID,11/18/2021 12:00:00 AM,MIRAMAR,FL,"=""33027""",Broward
W805638,YOSEF BERKOWITZ PA,"=""20148930""",Resident,VALID,11/18/2021 12:00:00 AM,NORTH MIAMI BEACH,FL,"=""33162""",Dade
